Station_ID,Station_Name,Station_City,Station_Lattitude,Station_Longitude,Station_Gas_Price,Station_Premium_Price,Station_Diesel_Price
268,TotalEnergies Guánica,Guánica,17.9763984,-66.907503,93.7,92.7,78.7
269,Gulf | Tallaboa Service Station,Peñuelas,17.9906282,-66.7150572,91.7,92.7,78.7
270,Cabo Rojo Gas,Guánica,17.9736501,-66.9079577,-1,92.7,78.7
271,Texaco Gas Station - Gasolinera Texaco,Guayanilla,18.0159754,-66.7756031,92.7,92.7,78.7
272,Puma,Guánica,17.9952081,-66.8919781,92.7,92.7,78.7
273,Empire Gas,Guánica,17.9716332,-66.905207,-1,92.7,78.7
274,L.J Oquendo Gas,,18.0847805,-66.6205466,-1,92.7,78.7
275,Castillo gas service,,18.031829,-66.5590664,-1,92.7,78.7
276,Freddy Gas,Aibonito,18.1383901,-66.2714822,-1,92.7,78.7
277,Guillo Gas,Barranquitas,18.213622,-66.2895236,-1,92.7,78.7
278,Empire Gas Aibonito,Aibonito,18.1384546,-66.2917466,-1,92.7,78.7
279,Sopero by Gas Bar,Ponce,18.0071259,-66.6009329,-1,92.7,78.7
280,Empire Gas Orocovis,Orocovis,18.2190963,-66.3726505,-1,92.7,78.7
281,Muebleria Cheito Gas,Coamo,18.0765228,-66.3622513,-1,92.7,78.7
282,Cordova Gas,Dorado,18.4596501,-66.2651105,-1,92.7,78.7
283,Water For Gas,Ponce,18.0186151,-66.6147793,-1,92.7,78.7
284,Económico Auto Parts,Santa Isabel,18.0224258,-66.3703279,-1,92.7,78.7
285,Santurce Gas,Carolina,18.3781866,-65.9368998,-1,92.7,78.7
286,Shell Villa Prades,San Juan,18.4051568,-66.0195048,93.7,92.7,78.7
287,Sam's Club Gas Station,Caguas,18.2490787,-66.0240282,-1,92.7,78.7
288,Puma Villa Nevárez 179,San Juan,18.4001388,-66.0660703,92.7,92.7,78.7
289,Lijas Gas,Las Piedras,18.2280134,-65.8589042,-1,92.7,78.7
290,Gas Ideal,Bayamón,18.4175619,-66.1375203,-1,92.7,78.7
291,Tu Gas Amigo Inc.,Bayamón,18.375554,-66.148609,-1,92.7,78.7
292,MR.GAS,Toa Baja,18.4162337,-66.2007199,-1,92.7,78.7
293,Empire Gas Cayey,Cayey,18.093101,-66.176626,-1,92.7,78.7
294,Empire Gas,Salinas,18.0151926,-66.2560136,-1,92.7,78.7
295,ATM $ Gas station,Aibonito,18.1243509,-66.293121,-1,92.7,78.7
296,Empire Gas,Naranjito,18.2458229,-66.2765808,-1,92.7,78.7
297,Junior Gas,Cidra,18.1761829,-66.1616293,-1,92.7,78.7
298,Santa Juanita Gas,Bayamón,18.3668304,-66.1625391,-1,92.7,78.7
299,Liquilux Gas - Bayamón,Bayamón,18.409151,-66.1468811,-1,92.7,78.7
300,Gas bar urban cuisine,Ponce,18.025445,-66.6568805,-1,92.7,78.7
301,Empresas Alexander Gas,Juana Díaz,18.0438481,-66.5342196,-1,92.7,78.7
302,Tropigas Barranquitas,Barranquitas,18.168208,-66.3558471,-1,92.7,78.7
303,Messer Gas,Ponce,18.0055427,-66.5949783,-1,92.7,78.7
304,RT TIRE CENTER,Barranquitas,18.1894368,-66.3474923,-1,92.7,78.7
305,SHELL,Coamo,18.1651907,-66.405929,93.7,92.7,78.7
306,Empire Gas Villalba,Villalba,18.0952913,-66.5073431,-1,92.7,78.7
307,Tropigas,Coamo,18.0583897,-66.3674084,-1,92.7,78.7
308,Los Llanos Service Station Car wash,Coamo,18.0515899,-66.4097681,-1,92.7,78.7
309,Shell Santa Maria,Ponce,18.0042875,-66.6207628,93.7,92.7,78.7
310,Shufat Gas Station,Vega Baja,18.4454117,-66.3757722,-1,92.7,78.7
311,Mobil - Gas Station,Caguas,18.2246597,-66.0378733,92.7,92.7,78.7
312,Perez Gas,Juncos,18.2282869,-65.9226128,-1,92.7,78.7
313,Empire Gas Coamo,Coamo,18.0817465,-66.3853349,-1,92.7,78.7
314,Phillips 66,Ponce,18.0475789,-66.558262,91.7,92.7,78.7
315,Mobil,San Juan,18.4174809,-66.0669778,92.7,92.7,78.7
316,Gulf Service Station,Ponce,18.0475004,-66.5582888,91.7,92.7,78.7
317,Ecomaxx - Ponce Villa,Ponce,18.0103063,-66.6181601,93.7,92.7,78.7
318,Villa Los Pescadores Puma Gas Station,Vega Baja,18.4831982,-66.4209574,92.7,92.7,78.7
319,ATM at Puma Gas Station,Vega Baja,18.487654,-66.4114037,92.7,92.7,78.7
320,Petro West Arecibo,Arecibo,18.4319171,-66.5994491,-1,92.7,78.7
321,GOMERA YONSUE,San Sebastián,18.3563884,-67.0021455,-1,92.7,78.7
322,TotalEnergies Las Patriotas,Lares,18.2978151,-66.8740328,93.7,92.7,78.7
323,Garage Puma La Piramide 577,Arecibo,18.4469196,-66.6815987,92.7,92.7,78.7
324,Puma,Lares,18.3324983,-66.8501997,92.7,92.7,78.7
325,Puma 499,Manatí,18.4474291,-66.4986023,92.7,92.7,78.7
326,MOBIL - Gas Station,Caguas,18.2187915,-66.0438672,92.7,92.7,78.7
327,Garaje Machin Gas,Trujillo Alto,18.321064,-66.004625,-1,92.7,78.7
328,Ultima Parada Gas Station,San Juan,18.4447922,-66.0706729,-1,92.7,78.7
329,Total gas station Bo Zanja,Camuy,18.4591208,-66.8532889,93.7,92.7,78.7
330,RICO GAS,Arecibo,18.4696796,-66.7156631,-1,92.7,78.7
331,Puma Gas Station #318,Gurabo,18.2541749,-65.9706782,92.7,92.7,78.7
332,Super Gas,Bayamón,18.3673919,-66.1626385,-1,92.7,78.7
333,TotalEnergies Barrio Capaez,Adjuntas,18.184739,-66.745988,93.7,92.7,78.7
334,Mobil - Gas Station,Lares,18.291247,-66.884703,92.7,92.7,78.7
335,San Antonio Shell # 3,Cidra,18.1698611,-66.1606704,93.7,92.7,78.7
336,TotalEnergies Barrio Coto Norte,Manatí,18.43218,-66.4769564,93.7,92.7,78.7
337,Paloma Gas Station & Sport Bar,Barranquitas,18.2392681,-66.2680787,-1,92.7,78.7
338,Mobil - Gas Station,Orocovis,18.2279466,-66.3905002,92.7,92.7,78.7
339,Mobil - Gas Station,Bayamón,18.3565624,-66.1655293,92.7,92.7,78.7
340,ECOMAXX CEIBA GAS,Cidra,18.1923019,-66.1692553,93.7,92.7,78.7
341,Mobil - Gas Station,Aibonito,18.139906,-66.2677639,92.7,92.7,78.7
342,Mobil - Gas Station,Bayamón,18.3703694,-66.1963966,92.7,92.7,78.7
343,Margaro Gas Fluido,Cidra,18.1369081,-66.1366696,-1,92.7,78.7
344,Contorno Gas Station,Toa Alta,18.3680429,-66.2619127,-1,92.7,78.7
345,Sam's Club Gas Station,Bayamón,18.4121788,-66.1610471,-1,92.7,78.7
346,Puma Gas Station 259,Vega Alta,18.4131748,-66.3172585,92.7,92.7,78.7
347,La Cuchilla Service Station Bar & Grill,Orocovis,18.1655194,-66.4058306,-1,92.7,78.7
348,TotalEnergies Avenida Central - GAS Inc.,San Juan,18.4074101,-66.0598289,93.7,92.7,78.7
349,TotalEnergies Las Flores,Coamo,18.0479706,-66.3635849,93.7,92.7,78.7
350,Shell,Toa Baja,18.4543911,-66.1876903,93.7,92.7,78.7
351,Mobil,Caguas,18.2365575,-66.0323705,92.7,92.7,78.7
352,Gasolinera Puma 799,Juana Díaz,18.046546,-66.4674635,92.7,92.7,78.7
353,Ecomaxx E.M. BROTHERS,Jayuya,18.1589551,-66.6492563,93.7,92.7,78.7
354,Canteras Shell,Ponce,18.0206912,-66.6121808,93.7,92.7,78.7
355,Any Time Gas Río Cañas,Caguas,18.2887307,-66.0448432,-1,92.7,78.7
356,EUREKA GAS STATION,Las Piedras,18.1800526,-65.8633781,-1,92.7,78.7
357,Shell,San Juan,18.3785226,-66.0508789,93.7,92.7,78.7
358,Puma 178,Ponce,17.9992293,-66.6142034,92.7,92.7,78.7
359,Mobil - Gas Station,Santa Isabel,18.013228,-66.3840133,92.7,92.7,78.7
360,Puma 867,Villalba,18.1280398,-66.4891747,92.7,92.7,78.7
361,Mobil - Gas Station,San Juan,18.4325667,-66.0588588,92.7,92.7,78.7
362,Ecomaxx,Juana Díaz,17.995907,-66.4969301,93.7,92.7,78.7
363,Puma Núm. 474,Ponce,17.9962605,-66.6214431,92.7,92.7,78.7
364,Puma Villa del Carmen #859,Ponce,17.9777174,-66.6099706,92.7,92.7,78.7
365,MOBIL - Gas Station,Ponce,18.0389519,-66.5487737,92.7,92.7,78.7
366,TotalEnergies Barrio Florida,Santa Isabel,17.9648086,-66.3992678,93.7,92.7,78.7
367,VIP auto wash,Ponce,18.0138931,-66.5492297,-1,92.7,78.7
368,Ecomaxx,Ponce,18.0142638,-66.6183043,93.7,92.7,78.7
369,TotalEnergies El Monte,Ponce,18.0416974,-66.5760272,93.7,92.7,78.7
370,TotalEnergies Juana Díaz,Juana Díaz,18.0507808,-66.5055779,93.7,92.7,78.7
371,Ecomaxx Arecibo Dyno Gas,Arecibo,18.4806091,-66.7635046,93.7,92.7,78.7
372,TotalEnergies Vista Azul,Arecibo,18.4783323,-66.7580742,93.7,92.7,78.7
373,Camarero Service Station,Quebradillas,18.474227,-66.9385888,-1,92.7,78.7
374,IMPERIAL GAS STATION/ GARAJE TOTAL,Santa Isabel,17.9644051,-66.3993036,93.7,92.7,78.7
375,Gasio Gasolinera Gulf La Victoria,Ponce,18.0119918,-66.6320824,92.7,92.7,78.7
376,MOBIL - Gas Station,Hatillo,18.396964,-66.785217,92.7,92.7,78.7
377,MOBIL - Gas Station,Hatillo,18.3971778,-66.7853726,92.7,92.7,78.7
378,TotalEnergies Piedras Blancas,San Sebastián,18.332485,-66.986633,93.7,92.7,78.7
379,Mobil - Gas Station,Hatillo,18.458923,-66.7726992,92.7,92.7,78.7
380,MOBIL - Gas Station,Manatí,18.4343371,-66.4708821,92.7,92.7,78.7
381,Texaco,Vega Baja,18.432089,-66.4283693,93.7,92.7,78.7
382,Mobil - Gas Station,Quebradillas,18.4826342,-66.9412008,92.7,92.7,78.7
383,TotalEnergies Barrio Pugnado,Vega Baja,18.3853937,-66.4230794,93.7,92.7,78.7
384,Mobil - Gas Station,Arecibo,18.4723676,-66.7248195,92.7,92.7,78.7
385,TotalEnergies Algarrobo,Vega Baja,18.4438102,-66.4149783,93.7,92.7,78.7
386,Gulf Talin,Arecibo,18.4473435,-66.676025,91.7,92.7,78.7
387,Clark Gas Station,San Sebastián,18.3332708,-66.9884013,-1,92.7,78.7
388,MOBIL - Gas Station,Bayamón,18.3608276,-66.1594106,92.7,92.7,78.7
389,Mobil fuel station,Cayey,18.0961682,-66.2236785,92.7,92.7,78.7
390,Planas Gas Station & Mini Market,Isabela,18.3862287,-66.9711596,-1,92.7,78.7
391,Gulf - de la cuatro ( mega gas ),Cayey,18.1157923,-66.1719528,91.7,92.7,78.7
392,Shell,Bayamón,18.3738852,-66.18815,93.7,92.7,78.7
393,Mobil - Gas Station,Bayamón,18.3801708,-66.1518208,92.7,92.7,78.7
394,Plaza Marina Gas Station & Mini Market,Juncos,18.2400326,-65.8973139,-1,92.7,78.7
395,Puma Gas Station 173,Carolina,18.425583,-65.9886289,92.7,92.7,78.7
396,Any Time Gas Station,Carolina,18.3996667,-65.9673519,-1,92.7,78.7
397,Puma Gas Station #69,San Juan,18.3614712,-66.0415812,92.7,92.7,78.7
398,Antorcha Gas,Trujillo Alto,18.3482234,-66.0348527,-1,92.7,78.7
399,Puma Gas,Vega Baja,18.4465815,-66.3942097,92.7,92.7,78.7
400,Puma Energy,Bayamón,18.424184,-66.1643936,92.7,92.7,78.7
401,Mobil - Gas Station,Coamo,18.051599,-66.4097893,92.7,92.7,78.7
402,Mobil,Carolina,18.4456037,-66.033052,92.7,92.7,78.7
403,Puma Gas Station - Gasolinera Puma,San Juan,18.416814,-66.0482973,92.7,92.7,78.7
404,MOBIL - Gas Station,Santa Isabel,18.0102135,-66.3836884,92.7,92.7,78.7
405,Puma Gas Station 371,Carolina,18.416904,-66.0031604,92.7,92.7,78.7
